,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1808.5,13.306,0.510,284.587,13.306,0.510,284.587,13.306,0.510,284.587,13.296,0.510,284.633,13.306,0.510,284.587
1809.5,13.131,0.510,284.379,13.131,0.510,284.379,13.131,0.510,284.379,13.116,0.510,284.411,13.131,0.510,284.379
1810.5,12.934,0.510,283.209,12.934,0.510,283.209,12.934,0.510,283.209,12.911,0.510,283.222,12.934,0.510,283.209
1811.5,12.958,0.511,282.226,12.958,0.511,282.226,12.958,0.511,282.226,12.942,0.511,282.222,12.958,0.511,282.226
1812.5,13.028,0.511,281.807,13.028,0.511,281.807,13.028,0.511,281.807,13.012,0.511,281.789,13.028,0.511,281.807
1813.5,13.085,0.511,281.779,13.085,0.511,281.779,13.085,0.511,281.779,13.070,0.511,281.743,13.085,0.511,281.779
1814.5,13.134,0.511,281.960,13.134,0.511,281.960,13.134,0.511,281.960,13.117,0.511,281.912,13.134,0.511,281.960
1815.5,13.027,0.512,282.061,13.027,0.512,282.061,13.027,0.512,282.061,13.006,0.512,281.999,13.027,0.512,282.061
1816.5,12.644,0.513,280.889,12.644,0.513,280.889,12.644,0.513,280.889,12.626,0.513,280.816,12.644,0.513,280.889
1817.5,12.612,0.514,279.334,12.612,0.514,279.334,12.612,0.514,279.334,12.595,0.514,279.251,12.612,0.514,279.334
1818.5,12.703,0.514,278.507,12.703,0.514,278.507,12.703,0.514,278.507,12.698,0.514,278.418,12.703,0.514,278.507
1819.5,12.814,0.514,278.357,12.814,0.514,278.357,12.814,0.514,278.357,12.813,0.514,278.272,12.814,0.514,278.357
1820.5,12.909,0.514,278.650,12.909,0.514,278.650,12.909,0.514,278.650,12.908,0.514,278.573,12.909,0.514,278.650
1821.5,12.983,0.514,279.176,12.983,0.514,279.176,12.983,0.514,279.176,12.976,0.514,279.107,12.983,0.514,279.176
1822.5,13.031,0.515,279.766,13.031,0.515,279.766,13.031,0.515,279.766,13.026,0.515,279.704,13.031,0.515,279.766
1823.5,13.072,0.516,280.364,13.072,0.516,280.364,13.072,0.516,280.364,13.063,0.516,280.306,13.072,0.516,280.364
1824.5,13.102,0.516,280.950,13.102,0.516,280.950,13.102,0.516,280.950,13.095,0.516,280.893,13.102,0.516,280.950
1825.5,13.124,0.517,281.506,13.124,0.517,281.506,13.124,0.517,281.506,13.123,0.517,281.453,13.124,0.517,281.506
